age,gender,sleep_hours,daily_steps,heart_rate,calories_burned,stress_level,water_intake,exercise_minutes,wellness_score
23.0,Male,9.4,7005.0,100.0,3389.0,9.0,2.42,45.0,63.71
62.0,Female,7.8,1526.0,91.0,1923.0,7.0,1.86,80.0,56.08
55.0,Male,5.8,3354.0,75.0,3474.0,4.0,2.67,17.0,67.13
43.0,Female,5.0,17637.0,70.0,1598.0,7.0,1.17,5.0,49.39
42.0,Female,7.5,15575.0,82.0,2380.0,10.0,2.0,125.0,71.75
66.0,Female,6.7,10605.0,78.0,1560.0,4.0,2.48,9.0,59.39
22.0,Female,4.9,14212.0,53.0,2384.0,5.0,3.09,52.0,75.13
57.0,Female,7.4,9415.0,65.0,2823.0,9.0,1.77,25.0,56.6
29.0,Female,6.5,11302.0,100.0,3315.0,6.0,2.78,1.0,63.52
23.0,Male,7.5,16620.0,78.0,1730.0,2.0,1.96,97.0,79.64
48.0,Other,7.4,2520.0,107.0,3352.0,4.0,2.79,36.0,67.62
73.0,Female,6.0,7108.0,66.0,3598.0,3.0,1.54,103.0,78.22
59.0,Other,7.6,3199.0,108.0,1546.0,5.0,2.61,71.0,57.39
61.0,Other,6.2,14555.0,98.0,3514.0,10.0,2.03,84.0,67.99
58.0,Female,6.2,15019.0,72.0,3394.0,9.0,1.27,86.0,69.83
62.0,Female,6.1,13326.0,87.0,1464.0,10.0,1.99,24.0,43.63
47.0,Female,8.3,11430.0,109.0,1539.0,8.0,3.03,59.0,56.96
25.0,Male,6.4,9215.0,88.0,2995.0,6.0,1.39,101.0,69.62
65.0,Female,8.6,1594.0,106.0,2323.0,7.0,1.06,30.0,34.83
43.0,Female,9.1,14213.0,58.0,1973.0,5.0,2.38,14.0,63.35
46.0,Female,5.8,16219.0,61.0,2289.0,1.0,0.93,53.0,68.95
39.0,Female,3.5,17425.0,52.0,2149.0,2.0,3.19,116.0,83.72
28.0,Male,8.2,6943.0,70.0,3545.0,6.0,3.18,41.0,77.24
70.0,,6.4,4570.0,97.0,1928.0,7.0,2.83,50.0,54.81
62.0,Female,,12187.0,107.0,1594.0,3.0,2.09,16.0,55.11
54.0,Male,6.0,1494.0,83.0,3227.0,1.0,3.27,94.0,73.94
40.0,Male,6.3,2212.0,76.0,3247.0,1.0,3.04,43.0,71.42
64.0,Male,8.5,15000.0,106.0,3366.0,4.0,1.73,22.0,63.98
49.0,Female,7.0,17274.0,86.0,3536.0,9.0,3.11,13.0,69.48
43.0,Female,8.5,7980.0,83.0,1488.0,5.0,1.46,40.0,62.04
43.0,Male,7.4,9731.0,56.0,3091.0,10.0,1.96,26.0,59.89
30.0,Male,6.4,10345.0,64.0,1994.0,9.0,0.84,64.0,66.27
23.0,Female,6.3,3526.0,92.0,2327.0,9.0,2.2,55.0,56.46
49.0,Male,7.5,4937.0,92.0,2387.0,10.0,1.89,64.0,49.59
68.0,Female,7.9,6213.0,80.0,3568.0,3.0,1.78,47.0,78.76
21.0,Female,8.1,15342.0,92.0,2548.0,10.0,1.98,12.0,58.06
66.0,Male,6.5,8560.0,92.0,1889.0,10.0,1.69,101.0,52.16
65.0,Female,7.0,13316.0,55.0,1592.0,8.0,2.13,71.0,62.53
33.0,Male,7.6,4466.0,100.0,2695.0,2.0,3.0,23.0,67.19
54.0,Male,6.3,17216.0,92.0,3226.0,3.0,1.36,9.0,61.2
27.0,Female,5.3,16041.0,64.0,2962.0,7.0,2.7,122.0,77.61
61.0,Female,5.8,9184.0,64.0,3454.0,1.0,2.25,120.0,82.17
57.0,Female,6.5,4989.0,107.0,1492.0,9.0,2.36,24.0,43.0
38.0,Male,7.7,17606.0,66.0,2286.0,5.0,2.08,54.0,76.25
21.0,Male,8.4,14776.0,53.0,2745.0,1.0,1.6,75.0,80.63
73.0,Female,5.0,9782.0,53.0,3285.0,3.0,2.41,57.0,70.48
43.0,Female,6.0,5694.0,65.0,2087.0,4.0,2.46,108.0,71.16
68.0,Other,6.3,11639.0,88.0,2887.0,7.0,1.54,75.0,71.79
56.0,Male,7.8,7422.0,78.0,1857.0,7.0,1.16,34.0,57.0
62.0,Female,6.1,12525.0,94.0,2701.0,4.0,2.16,101.0,72.58
61.0,Female,6.2,15185.0,65.0,3105.0,7.0,2.63,113.0,70.8
29.0,Female,5.0,9428.0,65.0,3201.0,9.0,2.8,9.0,60.67
38.0,Male,7.4,2009.0,75.0,2393.0,4.0,2.94,110.0,71.98
44.0,Female,6.6,10654.0,97.0,2440.0,4.0,2.36,91.0,75.59
46.0,Male,5.9,15625.0,81.0,3340.0,2.0,1.92,119.0,89.05
20.0,Female,6.5,4951.0,96.0,2604.0,4.0,2.1,118.0,66.09
49.0,Female,8.3,17317.0,57.0,2170.0,3.0,1.23,6.0,63.88
26.0,Female,5.5,7287.0,75.0,2004.0,8.0,1.62,57.0,64.04
60.0,Female,5.7,12693.0,77.0,2965.0,2.0,2.06,9.0,67.65
56.0,Female,8.4,12993.0,55.0,2966.0,6.0,1.91,1.0,66.73
70.0,Female,6.9,4258.0,70.0,2583.0,8.0,2.16,119.0,61.11
60.0,Female,7.7,1855.0,68.0,1749.0,3.0,1.14,32.0,43.89
38.0,Female,7.3,17139.0,78.0,1755.0,1.0,1.29,7.0,64.06
73.0,Male,6.8,12966.0,61.0,1934.0,7.0,2.64,122.0,72.94
41.0,Other,6.3,11805.0,67.0,1426.0,6.0,1.52,53.0,56.47
36.0,Female,7.9,6303.0,107.0,2455.0,6.0,1.63,15.0,49.38
69.0,Female,8.3,3015.0,60.0,2312.0,9.0,2.17,33.0,50.72
39.0,Female,8.2,5766.0,99.0,2247.0,2.0,1.45,1.0,50.41
22.0,Female,5.3,10401.0,83.0,3456.0,2.0,2.87,88.0,89.59
44.0,Male,8.5,12850.0,56.0,1927.0,5.0,1.22,121.0,74.41
63.0,Female,6.3,6559.0,75.0,3179.0,6.0,2.1,50.0,56.28
28.0,Male,5.8,4811.0,81.0,1822.0,10.0,1.58,112.0,52.36
44.0,Male,6.6,5391.0,68.0,2745.0,7.0,2.21,44.0,58.98
25.0,Male,7.9,17356.0,67.0,3293.0,3.0,1.75,59.0,96.73
57.0,Male,7.5,11792.0,93.0,3243.0,9.0,2.08,27.0,64.55
45.0,Male,6.5,17843.0,53.0,2699.0,5.0,2.95,0.0,55.49
36.0,Female,7.9,1305.0,105.0,1855.0,9.0,1.62,21.0,39.93
30.0,Male,7.0,8896.0,70.0,2230.0,3.0,1.61,75.0,87.29
50.0,Female,6.1,8884.0,74.0,2334.0,8.0,1.88,12.0,47.62
56.0,Male,5.9,7943.0,59.0,3260.0,6.0,3.13,106.0,71.17
71.0,Female,7.3,7778.0,103.0,2230.0,6.0,2.04,119.0,61.09
42.0,Female,6.7,2527.0,64.0,3215.0,10.0,2.96,37.0,60.78
27.0,Male,5.0,1740.0,98.0,3493.0,2.0,1.98,35.0,61.1
65.0,Female,7.9,14274.0,70.0,1643.0,4.0,2.93,22.0,71.56
53.0,Female,6.2,8600.0,53.0,3458.0,2.0,2.39,53.0,72.84
57.0,Female,8.9,3933.0,75.0,2648.0,9.0,2.49,117.0,65.67
23.0,,5.0,7038.0,82.0,2721.0,9.0,1.09,50.0,54.15
35.0,Female,6.6,16875.0,79.0,2072.0,9.0,0.99,99.0,66.41
61.0,Female,5.9,9057.0,109.0,2134.0,3.0,2.85,41.0,60.62
65.0,Male,5.5,17841.0,82.0,2589.0,3.0,2.84,58.0,76.69
42.0,Female,6.2,3913.0,97.0,1837.0,5.0,3.8,64.0,56.86
63.0,Male,9.1,3256.0,73.0,2979.0,8.0,1.06,117.0,63.39
65.0,Female,7.0,10672.0,60.0,2867.0,8.0,2.44,64.0,66.13
40.0,Male,5.8,12674.0,80.0,1418.0,10.0,1.38,79.0,58.08
69.0,Male,4.4,17685.0,84.0,1863.0,8.0,1.58,111.0,57.01
34.0,Other,4.6,9028.0,76.0,2529.0,10.0,1.75,122.0,57.25
31.0,Female,6.1,4562.0,96.0,3032.0,3.0,2.37,116.0,72.02
56.0,Female,6.0,10291.0,107.0,2041.0,7.0,1.64,13.0,44.67
54.0,Other,6.5,6357.0,56.0,3350.0,6.0,2.12,14.0,65.7
25.0,Male,3.8,4216.0,55.0,2574.0,2.0,2.68,56.0,70.4
65.0,Male,6.7,2685.0,67.0,2585.0,10.0,2.89,45.0,51.59
29.0,Male,8.1,13355.0,85.0,1641.0,2.0,2.58,88.0,85.93
63.0,Female,8.9,11998.0,54.0,2782.0,9.0,,56.0,66.73
18.0,Male,4.3,3999.0,63.0,3198.0,3.0,2.0,53.0,69.16
63.0,,5.8,10589.0,75.0,1865.0,3.0,1.7,11.0,61.26
62.0,Male,5.7,16073.0,73.0,2596.0,7.0,2.48,45.0,75.88
62.0,Male,7.0,14943.0,101.0,1414.0,5.0,1.36,74.0,56.39
55.0,Male,5.2,8826.0,83.0,1864.0,4.0,2.18,90.0,72.77
44.0,Male,9.0,2162.0,102.0,1556.0,10.0,1.35,21.0,31.07
58.0,Male,6.9,11865.0,96.0,3093.0,7.0,2.07,78.0,63.29
33.0,Female,6.6,9872.0,76.0,3590.0,7.0,1.36,74.0,73.95
